Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen
"08426";"Biberach";"Landkreis";"1.977,01"
"08435";"Bodenseekreis";"Landkreis";"2.147,92"
"08436";"Ravensburg";"Landkreis";"1.964,23"
"08437";"Sigmaringen";"Landkreis";"1.871,67"
"09161";"Ingolstadt, Stadt";"kreisfreie Stadt";"1.952,48"
"09162";"München, Stadt";"kreisfreie Stadt";"2.551,39"
"09163";"Rosenheim, Stadt";"kreisfreie Stadt";"1.885,62"
"09171";"Altötting";"Landkreis";"1.921,79"
"09172";"Berchtesgadener Land";"Landkreis";"1.921,67"
"09173";"Bad Tölz-Wolfratshausen";"Landkreis";"2.180,76"
"09174";"Dachau";"Landkreis";"2.105,07"
"09175";"Ebersberg";"Landkreis";"2.287,31"
"09176";"Eichstätt";"Landkreis";"1.983,05"
"09177";"Erding";"Landkreis";"2.083,20"
"09178";"Freising";"Landkreis";"1.996,59"
"09179";"Fürstenfeldbruck";"Landkreis";"2.146,97"
"09180";"Garmisch-Partenkirchen";"Landkreis";"2.094,81"
"09181";"Landsberg am Lech";"Landkreis";"2.157,86"
"09182";"Miesbach";"Landkreis";"2.832,37"
"09183";"Mühldorf a.Inn";"Landkreis";"1.957,52"
"09184";"München";"Landkreis";"2.560,93"
"09185";"Neuburg-Schrobenhausen";"Landkreis";"1.969,25"
"09186";"Pfaffenhofen a.d.Ilm";"Landkreis";"2.138,32"
"09187";"Rosenheim";"Landkreis";"2.101,62"
"09188";"Starnberg";"Landkreis";"3.063,44"
"09189";"Traunstein";"Landkreis";"2.051,25"
"09190";"Weilheim-Schongau";"Landkreis";"2.105,55"
"09261";"Landshut, Stadt";"kreisfreie Stadt";"2.071,83"
"09262";"Passau, Stadt";"kreisfreie Stadt";"1.768,91"
"09263";"Straubing, Stadt";"kreisfreie Stadt";"1.987,82"
"09271";"Deggendorf";"Landkreis";"1.949,25"
"09272";"Freyung-Grafenau";"Landkreis";"1.768,06"
"09273";"Kelheim";"Landkreis";"1.936,90"
"09274";"Landshut";"Landkreis";"2.002,28"
"09275";"Passau";"Landkreis";"1.833,58"
"09276";"Regen";"Landkreis";"1.767,67"
"09277";"Rottal-Inn";"Landkreis";"1.928,19"
"09278";"Straubing-Bogen";"Landkreis";"1.950,14"
"09279";"Dingolfing-Landau";"Landkreis";"2.009,24"
"09361";"Amberg, Stadt";"kreisfreie Stadt";"1.829,80"
"09362";"Regensburg, Stadt";"kreisfreie Stadt";"1.867,89"
"09363";"Weiden i.d.OPf., Stadt";"kreisfreie Stadt";"1.793,94"
"09371";"Amberg-Sulzbach";"Landkreis";"1.879,68"
"09372";"Cham";"Landkreis";"1.848,05"
"09373";"Neumarkt i.d.OPf.";"Landkreis";"2.005,55"
"09374";"Neustadt a.d.Waldnaab";"Landkreis";"1.804,16"
"09375";"Regensburg";"Landkreis";"1.991,47"
"09376";"Schwandorf";"Landkreis";"1.812,95"
"09377";"Tirschenreuth";"Landkreis";"1.845,24"
"09461";"Bamberg, Stadt";"kreisfreie Stadt";"1.811,80"
"09462";"Bayreuth, Stadt";"kreisfreie Stadt";"1.721,17"
"09463";"Coburg, Stadt";"kreisfreie Stadt";"2.039,47"
"09464";"Hof, Stadt";"kreisfreie Stadt";"1.660,34"
"09471";"Bamberg";"Landkreis";"1.874,98"
"09472";"Bayreuth";"Landkreis";"1.845,60"
"09473";"Coburg";"Landkreis";"2.100,73"
"09474";"Forchheim";"Landkreis";"1.997,71"
"09475";"Hof";"Landkreis";"1.814,77"
"09476";"Kronach";"Landkreis";"1.877,98"
"09477";"Kulmbach";"Landkreis";"1.925,22"
"09478";"Lichtenfels";"Landkreis";"1.896,41"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"1.867,00"
"09561";"Ansbach, Stadt";"kreisfreie Stadt";"1.777,41"
"09562";"Erlangen, Stadt";"kreisfreie Stadt";"2.048,66"
"09563";"Fürth, Stadt";"kreisfreie Stadt";"1.969,09"
"09564";"Nürnberg, Stadt";"kreisfreie Stadt";"1.855,05"
"09565";"Schwabach, Stadt";"kreisfreie Stadt";"2.154,20"
"09571";"Ansbach";"Landkreis";"1.967,96"
"09572";"Erlangen-Höchstadt";"Landkreis";"2.143,13"
"09573";"Fürth";"Landkreis";"2.108,09"
"09574";"Nürnberger Land";"Landkreis";"2.115,66"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"1.913,36"
"09576";"Roth";"Landkreis";"2.037,98"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"1.884,74"
"09661";"Aschaffenburg, Stadt";"kreisfreie Stadt";"2.065,59"
"09662";"Schweinfurt, Stadt";"kreisfreie Stadt";"1.738,44"
"09663";"Würzburg, Stadt";"kreisfreie Stadt";"2.089,18"
"09671";"Aschaffenburg";"Landkreis";"2.005,14"
"09672";"Bad Kissingen";"Landkreis";"1.880,73"
