Kennziffer;Raumeinheit;Aggregat;Vorzeitige Sterblichkeit Männer
9272;Freyung-Grafenau;Landkreis;3,83
9273;Kelheim;Landkreis;2,95
9274;Landshut;Landkreis;2,5
9275;Passau;Landkreis;3,47
9276;Regen;Landkreis;4,15
9277;Rottal-Inn;Landkreis;3,2
9278;Straubing-Bogen;Landkreis;2,95
9279;Dingolfing-Landau;Landkreis;2,92
9361;Amberg, Stadt;kreisfreie Stadt;5,01
9362;Regensburg, Stadt;kreisfreie Stadt;2,71
9363;Weiden i.d.OPf., Stadt;kreisfreie Stadt;3,64
9371;Amberg-Sulzbach;Landkreis;4,03
9372;Cham;Landkreis;3,88
9373;Neumarkt i.d.OPf.;Landkreis;3,43
9374;Neustadt a.d.Waldnaab;Landkreis;3,84
9375;Regensburg;Landkreis;3,24
9376;Schwandorf;Landkreis;3,4
9377;Tirschenreuth;Landkreis;4,15
9461;Bamberg, Stadt;kreisfreie Stadt;3,3
9462;Bayreuth, Stadt;kreisfreie Stadt;3,1
9463;Coburg, Stadt;kreisfreie Stadt;4,73
9464;Hof, Stadt;kreisfreie Stadt;5,25
9471;Bamberg;Landkreis;3,13
9472;Bayreuth;Landkreis;3,68
9473;Coburg;Landkreis;4,32
9474;Forchheim;Landkreis;3,4
9475;Hof;Landkreis;4,79
9476;Kronach;Landkreis;4,39
9477;Kulmbach;Landkreis;4,78
9478;Lichtenfels;Landkreis;4,54
9479;Wunsiedel i.Fichtelgebirge;Landkreis;5,59
9561;Ansbach, Stadt;kreisfreie Stadt;3,93
9562;Erlangen, Stadt;kreisfreie Stadt;2,98
9563;Fürth, Stadt;kreisfreie Stadt;3,49
9564;Nürnberg, Stadt;kreisfreie Stadt;3,64
9565;Schwabach, Stadt;kreisfreie Stadt;3,63
9571;Ansbach;Landkreis;3,04
9572;Erlangen-Höchstadt;Landkreis;3,21
9573;Fürth;Landkreis;3
9574;Nürnberger Land;Landkreis;3,41
9575;Neustadt a.d.Aisch-Bad Windsheim;Landkreis;3,85
9576;Roth;Landkreis;3,34
9577;Weißenburg-Gunzenhausen;Landkreis;3,6
9661;Aschaffenburg, Stadt;kreisfreie Stadt;3,75
9662;Schweinfurt, Stadt;kreisfreie Stadt;4,4
9663;Würzburg, Stadt;kreisfreie Stadt;3,06
9671;Aschaffenburg;Landkreis;2,69
9672;Bad Kissingen;Landkreis;3,57
9673;Rhön-Grabfeld;Landkreis;3,55
9674;Haßberge;Landkreis;4,09
