Nr.;Kreis/Region;Aggregat;HE;vSM
9562;Erlangen, Stadt;kreisfreie Stadt;2048,66;2,98
9563;Fürth, Stadt;kreisfreie Stadt;1969,09;3,49
9564;Nürnberg, Stadt;kreisfreie Stadt;1855,05;3,64
9565;Schwabach, Stadt;kreisfreie Stadt;2154,20;3,63
9571;Ansbach;Landkreis;1967,96;3,04
9572;Erlangen-Höchstadt;Landkreis;2143,13;3,21
9573;Fürth;Landkreis;2108,09;3
9574;Nürnberger Land;Landkreis;2115,66;3,41
9575;Neustadt a.d.Aisch-Bad Windsheim;Landkreis;1913,36;3,85
9576;Roth;Landkreis;2037,98;3,34
9577;Weißenburg-Gunzenhausen;Landkreis;1884,74;3,6
9661;Aschaffenburg, Stadt;kreisfreie Stadt;2065,59;3,75
9662;Schweinfurt, Stadt;kreisfreie Stadt;1738,44;4,4
9663;Würzburg, Stadt;kreisfreie Stadt;2089,18;3,06
9671;Aschaffenburg;Landkreis;2005,14;2,69
9672;Bad Kissingen;Landkreis;1880,73;3,57
9673;Rhön-Grabfeld;Landkreis;1875,63;3,55
9674;Haßberge;Landkreis;1819,94;4,09
9675;Kitzingen;Landkreis;1950,16;3,12
9676;Miltenberg;Landkreis;1921,54;2,9
9677;Main-Spessart;Landkreis;1933,52;3,31
9678;Schweinfurt;Landkreis;1887,35;3,19
9679;Würzburg;Landkreis;1956,19;2,64
9761;Augsburg, Stadt;kreisfreie Stadt;1664,63;3,44
9762;Kaufbeuren, Stadt;kreisfreie Stadt;1919,43;3,34
9763;Kempten (Allgäu), Stadt;kreisfreie Stadt;1839,27;3,11
9764;Memmingen, Stadt;kreisfreie Stadt;2301,45;3,83
9771;Aichach-Friedberg;Landkreis;2166,11;2,61
9772;Augsburg;Landkreis;2099,67;2,71
9773;Dillingen a.d.Donau;Landkreis;2023,90;3,13
9774;Günzburg;Landkreis;2011,97;3
9775;Neu-Ulm;Landkreis;2010,00;3,03
9776;Lindau (Bodensee);Landkreis;2171,45;3,24
9777;Ostallgäu;Landkreis;1997,15;3,04
9778;Unterallgäu;Landkreis;2070,01;3,01
9779;Donau-Ries;Landkreis;2032,84;2,93
9780;Oberallgäu;Landkreis;2054,45;2,81
10041;Regionalverband Saarbrücken;Landkreis;1618,89;4,68
10042;Merzig-Wadern;Landkreis;1568,41;4,54
10043;Neunkirchen;Landkreis;1662,94;5,04
10044;Saarlouis;Landkreis;1727,50;4,56
10045;Saarpfalz-Kreis;Landkreis;1908,54;4,07
10046;St. Wendel;Landkreis;1788,52;4,22
11000;Berlin, Stadt;kreisfreie Stadt;1674,32;3,43
12051;Brandenburg an der Havel, Stadt;kreisfreie Stadt;1519,05;5,43
12052;Cottbus, Stadt;kreisfreie Stadt;1539,04;5,4
12053;Frankfurt (Oder), Stadt;kreisfreie Stadt;1472,30;5,19
12054;Potsdam, Stadt;kreisfreie Stadt;1773,07;3,33
12060;Barnim;Landkreis;1697,85;4,84
12061;Dahme-Spreewald;Landkreis;1750,70;4,22
12062;Elbe-Elster;Landkreis;1560,97;5,77
12063;Havelland;Landkreis;1690,22;4,35
12064;Märkisch-Oderland;Landkreis;1693,98;4,57
12065;Oberhavel;Landkreis;1743,33;3,93
12066;Oberspreewald-Lausitz;Landkreis;1609,42;5,98
12067;Oder-Spree;Landkreis;1674,52;5,38
12068;Ostprignitz-Ruppin;Landkreis;1569,96;4,98
12069;Potsdam-Mittelmark;Landkreis;1883,17;4,25
12070;Prignitz;Landkreis;1581,65;5,67
12071;Spree-Neiße;Landkreis;1650,66;6,2
12072;Teltow-Fläming;Landkreis;1679,35;4,22
12073;Uckermark;Landkreis;1510,09;6,56
13003;Rostock, Stadt;kreisfreie Stadt;1534,39;4,14
13004;Schwerin, Stadt;kreisfreie Stadt;1586,77;5,46
13071;Mecklenburgische Seenplatte;Landkreis;1571,28;5,75
13072;Landkreis Rostock;Landkreis;1669,15;5,3
13073;Vorpommern-Rügen;Landkreis;1598,09;5,9
13074;Nordwestmecklenburg;Landkreis;1615,53;4,88
13075;Vorpommern-Greifswald;Landkreis;1510,40;5,99
13076;Ludwigslust-Parchim;Landkreis;1669,20;5,04
14511;Chemnitz, Stadt;kreisfreie Stadt;1643,35;4,46
14521;Erzgebirgskreis;Landkreis;1654,74;5,15
14522;Mittelsachsen;Landkreis;1661,39;4,61
14523;Vogtlandkreis;Landkreis;1652,78;5,46
14524;Zwickau;Landkreis;1692,89;5,13
14612;Dresden, Stadt;kreisfreie Stadt;1634,30;2,91
14625;Bautzen;Landkreis;1670,49;4,71
14626;Görlitz;Landkreis;1566,82;5,83
14627;Meißen;Landkreis;1723,51;4,29
14628;Sächsische Schweiz-Osterzgebirge;Landkreis;1697,66;4,76
14713;Leipzig, Stadt;kreisfreie Stadt;1558,70;3,69
14729;Leipzig;Landkreis;1764,23;5,05
14730;Nordsachsen;Landkreis;1667,92;5,2
15001;Dessau-Roßlau, Stadt;kreisfreie Stadt;1618,50;6,48
15002;Halle (Saale), Stadt;kreisfreie Stadt;1466,22;4,86
15003;Magdeburg, Stadt;kreisfreie Stadt;1552,90;4,17
15081;Altmarkkreis Salzwedel;Landkreis;1654,29;5,37
15082;Anhalt-Bitterfeld;Landkreis;1619,58;5,95
15083;Börde;Landkreis;1709,49;5,63
15084;Burgenlandkreis;Landkreis;1608,98;5,89
15085;Harz;Landkreis;1632,21;5,82
15086;Jerichower Land;Landkreis;1697,31;5,85
15087;Mansfeld-Südharz;Landkreis;1565,89;6,02
15088;Saalekreis;Landkreis;1698,92;5,41
15089;Salzlandkreis;Landkreis;1577,71;6,25
15090;Stendal;Landkreis;1568,21;6,26
15091;Wittenberg;Landkreis;1667,34;5,79
16051;Erfurt, Stadt;kreisfreie Stadt;1586,74;4,34
16052;Gera, Stadt;kreisfreie Stadt;1593,26;6,23
16053;Jena, Stadt;kreisfreie Stadt;1567,28;2,83
16054;Suhl, Stadt;kreisfreie Stadt;1654,33;6,15
16055;Weimar, Stadt;kreisfreie Stadt;1572,18;4,14
16056;Eisenach, Stadt;kreisfreie Stadt;1600,00;4,51
16061;Eichsfeld;Landkreis;1649,03;3,85
16062;Nordhausen;Landkreis;1542,64;5,03
16063;Wartburgkreis;Landkreis;1757,66;5
16064;Unstrut-Hainich-Kreis;Landkreis;1557,08;5,1
16065;Kyffhäuserkreis;Landkreis;1520,15;6,23
16066;Schmalkalden-Meiningen;Landkreis;1637,70;5,05
16067;Gotha;Landkreis;1603,05;5,09
16068;Sömmerda;Landkreis;1591,68;4,76
16069;Hildburghausen;Landkreis;1674,15;5,09
16070;Ilm-Kreis;Landkreis;1624,29;4,65
16071;Weimarer Land;Landkreis;1624,91;5,17
16072;Sonneberg;Landkreis;1627,75;6,31
16073;Saalfeld-Rudolstadt;Landkreis;1675,52;5,04
16074;Saale-Holzland-Kreis;Landkreis;1654,15;4,26
16075;Saale-Orla-Kreis;Landkreis;1626,09;5,38
16076;Greiz;Landkreis;1665,67;4,87
16077;Altenburger Land;Landkreis;1622,70;5,44
